Symbol,Date,Trade Volume,Trade Value,UIN Settlement Volume,UIN Settlement Value,UIN % Volume,UIN % Value
786,2025-11-30,906673.0,12416718.62,350027.0,4875315.47,38.60564944583108,39.26412137702127
AABS,2025-11-30,118.0,124318.08,90.0,94425.94,76.27118644067797,75.95511449340273
AATM,2025-11-30,2589.0,110792.06,2589.0,110792.06,100.0,100.0
ABL,2025-11-30,101830.0,17730433.59,78888.0,13744000.46,77.47029362663262,77.51643743078931
ABOT,2025-11-30,4032.0,4367049.01,3983.0,4313873.71,98.78472222222221,98.78235165489933
ACIETF,2025-11-30,29001.0,513024.0,28001.0,495464.0,96.55184303989518,96.57715818363273
ACPL,2025-11-30,55604.0,15601937.61,52913.0,14848492.89,95.16042011366089,95.1708259651219
ADAMS,2025-11-30,44.0,3175.75,38.0,2769.14,86.36363636363636,87.19641029678029
ADMM,2025-11-30,142941.0,7035650.16,102320.0,5063758.11,71.58198137693174,71.97285247053841
AGHA,2025-11-30,1396087.0,11580946.33,1057001.0,8755712.79,75.71168558979491,75.60446737689009
AGIC,2025-11-30,73272.0,2983649.82,71522.0,2912469.82,97.61163882519925,97.61433129575508
AGICR2,2025-11-30,166196.0,1422097.92,143756.0,1230424.32,86.49786998483718,86.52177200287306
AGIL,2025-11-30,29567.0,4201036.96,28741.0,4085173.44,97.20634491155681,97.24202569262805
AGL,2025-11-30,266607.0,17940666.21,160057.0,10800329.41,60.03480778824262,60.20026950827485
AGP,2025-11-30,361687.0,68048182.32,253329.0,47936806.81,70.04094700666599,70.4453890988223
AGSML,2025-11-30,222480.0,1975739.29,195973.0,1738730.44,88.0856706220784,88.0040422742213
AGTL,2025-11-30,11809.0,4823599.49,8469.0,3458433.38,71.71648742484545,71.69818694876759
AHCL,2025-11-30,1741508.0,26980985.22,1549168.0,23999810.34,88.955548869141,88.9508301654227
AHL,2025-11-30,90072.0,8992739.01,71664.0,7146168.82,79.56301625366373,79.46598708194912
AHTM,2025-11-30,7.0,666.89,7.0,666.89,100.0,100.0
AICL,2025-11-30,242501.0,17008040.01,132872.0,9712756.7,54.79235137174692,57.106854724526244
AIRLINK,2025-11-30,5197675.0,907793911.75,1995700.0,359113134.73,38.39601360223561,39.55888336348495
AKBL,2025-11-30,3469663.0,324273578.75,1428279.0,141265946.91,41.16477594509899,43.56381653249324
AKDHL,2025-11-30,3.0,508.44,3.0,508.44,100.0,100.0
AKDSL,2025-11-30,140088.0,4921602.16,117396.0,4133150.81,83.80161041630974,83.9797829168703
ALAC,2025-11-30,931332.0,11330973.76,774933.0,9412234.67,83.20695519964954,83.06642367513523
ALIFE,2025-11-30,3723.0,122896.7,3723.0,122896.7,100.0,100.0
ALNRS,2025-11-30,869.0,83016.73,802.0,76445.89,92.28998849252014,92.08492071417412
ALTN,2025-11-30,452059.0,5019053.22,428764.0,4760280.53,94.8469115757014,94.84419314445923
AMBL,2025-11-30,437.0,4465.98,313.0,3286.74,71.62471395881008,73.59504520844249
AMTEX,2025-11-30,31231638.0,175618099.88,12382068.0,70117406.69,39.64591290408784,39.92607068286884
