Symbol,Name,Trade Volume,Trade Value,UIN Settlement Volume,UIN Settlement Value,UIN Percentage Volume,UIN Percentage Value,Date
FANM,FIRST AL-NOOR MODARABA,157097.0,1364499.22,104696.0,909765.1,66.64,66.67,2025-10-01
FASM,FAISAL SPINNING MILLS LIMITED,235.0,75635.9,229.0,73645.12,97.45,97.37,2025-10-01
FATIMA,FATIMA FERTILIZER COMPANY LIMITED,8455738.0,1166510277.41,6532897.0,905817508.3,77.26,77.65,2025-10-01
FCCL,FAUJI CEMENT COMPANY LIMITED,10922193.0,645822742.53,6216122.0,382368430.25,56.91,59.21,2025-10-01
FCEL,FIRST CAPITAL EQUITIES LIMITED,659928.0,4080529.2,540143.0,3346361.24,81.85,82.01,2025-10-01
FCEPL,FRIESLANDCAMPINA ENGRO PAKISTAN LIMITED,558237.0,49737067.29,479034.0,42722632.28,85.81,85.9,2025-10-01
FCIBL,FIRST CREDIT AND INVESTMENT BANK LIMITED,2697.0,35492.52,2697.0,35492.52,100.0,100.0,2025-10-01
FCL,FAST CABLES LIMITED,1167478.0,28656063.83,995422.0,24438366.52,85.26,85.28,2025-10-01
FCSC,FIRST CAPITAL SECURITIES CORPORATION LTD,3251905.0,12753225.46,2513735.0,9849429.33,77.3,77.23,2025-10-01
FDPL,FIRST DAWOOD PROPERTIES LIMITED,925341.0,6231820.05,911531.0,6138573.99,98.51,98.5,2025-10-01
FECM,FIRST ELITE CAPITAL MODARABA,8138.0,235707.18,7808.0,226412.93,95.94,96.06,2025-10-01
FECTC,FECTO CEMENT LIMITED,100252.0,10918294.87,79347.0,8650279.26,79.15,79.23,2025-10-01
FEM,FIRST EQUITY MODARABA,1319468.0,11793924.9,1205818.0,10767997.9,91.39,91.3,2025-10-01
FEROZ,FEROZSONS LABORATORIES LIMITED,43240.0,17249729.76,41517.0,16566687.47,96.02,96.04,2025-10-01
FFC,FAUJI FERTILIZER COMPANY LIMITED,2790634.0,1253668453.75,1743842.0,793603936.99,62.49,63.3,2025-10-01
FFL,FAUJI FOODS LIMITED,17973934.0,387413930.58,10702956.0,235623959.64,59.55,60.82,2025-10-01
