"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"PAEL","PAK ELEKTRON LIMITED","8,685,572.00"," 472,144,014.66 ","4,898,464.00"," 276,197,987.01 ","56.40 ","58.50 "
"NCML","NAZIR COTTON MILLS LIMITED","4,501.00"," 59,513.50 ","4,501.00"," 59,513.50 ","100.00 ","100.00 "
"NCPL","NISHAT CHUNIAN POWER LIMITED","814,931.00"," 20,932,409.82 ","800,851.00"," 20,575,639.20 ","98.27 ","98.30 "
"NESTLE","NESTLE PAKISTAN LIMITED","127.00"," 1,030,617.97 ","126.00"," 1,022,517.96 ","99.21 ","99.21 "
"NETSOL","NETSOL TECHNOLOGIES LIMITED","811,352.00"," 117,417,089.53 ","564,919.00"," 81,674,184.13 ","69.63 ","69.56 "
"NEXT","NEXT CAPITAL LIMITED","63,578.00"," 766,575.89 ","60,308.00"," 728,619.29 ","94.86 ","95.05 "
"NICL","NIMIR INDUSTRIAL CHEMICALS LIMITED","165,644.00"," 37,846,431.30 ","130,201.00"," 29,792,877.17 ","78.60 ","78.72 "
"NITGETF","NIT PAK. GATEWAY EXCHANGE TRADED FUND","20,000.00"," 694,485.00 ","20,000.00"," 694,485.00 ","100.00 ","100.00 "
"NML","NISHAT MILLS LIMITED","1,546,069.00"," 216,388,995.86 ","958,693.00"," 139,145,278.61 ","62.01 ","64.30 "
"NONS","NOON SUGAR MILLS LIMITED","4,772.00"," 405,721.65 ","4,272.00"," 362,751.65 ","89.52 ","89.41 "
"NPL","NISHAT POWER LIMITED","1,316,585.00"," 47,109,958.73 ","1,264,759.00"," 45,259,104.97 ","96.06 ","96.07 "
"NRL","NATIONAL REFINERY LIMITED","6,271,824.00"," 2,462,682,814.28 ","2,372,278.00"," 962,527,433.33 ","37.82 ","39.08 "
"NRSL","NIMIR RESINS LIMITED","46,345.00"," 1,576,923.73 ","42,789.00"," 1,455,850.45 ","92.33 ","92.32 "
"NSRM","THE NATIONAL SILK & RAYON MILLS LIMITED","101.00"," 9,772.47 ","101.00"," 9,772.47 ","100.00 ","100.00 "
"OBOY","OILBOY ENERGY LIMITED","1,757,922.00"," 16,822,413.93 ","1,167,019.00"," 11,153,378.40 ","66.39 ","66.30 "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","749,862.00"," 37,834,903.46 ","543,261.00"," 27,375,891.72 ","72.45 ","72.36 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","5,193,471.00"," 1,361,188,874.47 ","2,657,569.00"," 723,557,708.07 ","51.17 ","53.16 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","33,210.00"," 1,533,726.22 ","27,102.00"," 1,245,779.11 ","81.61 ","81.23 "
